q_yaw,q_over_q0,sigma_deg,k_sigma,subset,false_gate_pct,genuine_frames,genuine_rejected,rejected,rejected_pct_all_frames,withheld,onsets_rejected,onsets,residual_episodes_010,residual_frames_010,residual_episodes_005,note
3.9999999999999996e-05,10.0,0.74,3.0,operational,12.2291,304412,37227,55915,16.1021,0,9,15,2,2,15,"q sweep, grid"
3.9999999999999996e-05,10.0,0.74,5.0,all,8.9669,321238,28805,46094,12.6355,0,12,21,8,8,23,"q sweep, grid"
3.9999999999999996e-05,10.0,0.74,5.0,operational,8.3433,304412,25398,42186,12.1485,0,7,15,5,5,19,"q sweep, grid"
3.9999999999999996e-05,10.0,1.09,3.0,all,11.0585,321238,35524,53354,14.6256,0,12,21,1,1,16,"q sweep, grid"
3.9999999999999996e-05,10.0,1.09,3.0,operational,10.1326,304412,30845,48149,13.8657,0,8,15,1,1,14,"q sweep, grid"
3.9999999999999996e-05,10.0,1.09,5.0,all,8.3586,321238,26851,42875,11.753,0,13,21,8,8,20,"q sweep, grid"
3.9999999999999996e-05,10.0,1.09,5.0,operational,7.7241,304412,23513,39068,11.2506,0,8,15,6,6,16,"q sweep, grid"
0.00039999999999999996,100.0,0.74,3.0,all,8.4551,321238,27161,43011,11.7903,0,14,21,11,11,35,"q sweep, grid"
0.00039999999999999996,100.0,0.74,3.0,operational,7.6025,304412,23143,38495,11.0856,0,9,15,6,6,27,"q sweep, grid"
0.00039999999999999996,100.0,0.74,5.0,all,3.9569,321238,12711,23889,6.5485,0,12,21,15,15,33,"q sweep, grid"
0.00039999999999999996,100.0,0.74,5.0,operational,3.194,304412,9723,20543,5.9159,0,8,15,10,10,25,"q sweep, grid"
0.00039999999999999996,100.0,1.09,3.0,all,8.9634,321238,28794,43533,11.9334,0,16,21,10,10,32,"q sweep, grid"
0.00039999999999999996,100.0,1.09,3.0,operational,7.3121,304412,22259,36562,10.529,0,10,15,6,6,24,"q sweep, grid"
0.00039999999999999996,100.0,1.09,5.0,all,3.8249,321238,12287,21680,5.943,0,12,21,17,17,27,"q sweep, grid"
0.00039999999999999996,100.0,1.09,5.0,operational,3.0702,304412,9346,18413,5.3025,0,7,15,11,11,19,"q sweep, grid"
0.004,1000.0,0.74,3.0,all,1.3909,321238,4468,12171,3.3364,0,13,21,25,25,53,"q sweep, grid"
0.004,1000.0,0.74,3.0,operational,1.0312,304412,3139,10571,3.0442,0,8,15,21,21,43,"q sweep, grid"
0.004,1000.0,0.74,5.0,all,0.4492,321238,1443,5949,1.6308,0,16,21,22,26,46,"q sweep, grid"
0.004,1000.0,0.74,5.0,operational,0.3173,304412,966,5344,1.5389,0,12,15,19,21,36,"q sweep, grid"
0.004,1000.0,1.09,3.0,all,1.3579,321238,4362,11508,3.1546,0,12,21,21,21,44,"q sweep, grid"
0.004,1000.0,1.09,3.0,operational,1.0128,304412,3083,9981,2.8743,0,7,15,18,18,35,"q sweep, grid"
0.004,1000.0,1.09,5.0,all,0.4231,321238,1359,5490,1.5049,0,16,21,20,22,41,"q sweep, grid"
0.004,1000.0,1.09,5.0,operational,0.2911,304412,886,4896,1.4099,0,12,15,17,18,32,"q sweep, grid"
0.1540825122065306,38520.628052,0.74,3.0,all,0.0439,321238,141,645,0.1768,0,10,21,22,30,54,matched availability to v3(b) all 0.044 % (q bisected)
0.1540825122065306,38520.628052,0.74,3.0,operational,0.0404,304412,123,596,0.1716,0,8,15,16,19,40,matched availability to v3(b) all 0.044 % (q bisected)
0.055310433415918854,13827.608354,0.74,5.0,all,0.0439,321238,141,388,0.1064,0,10,21,22,30,54,matched availability to v3(b) all 0.044 % (q bisected)
0.055310433415918854,13827.608354,0.74,5.0,operational,0.0404,304412,123,340,0.0979,0,8,15,16,19,40,matched availability to v3(b) all 0.044 % (q bisected)
