group,quantity,value,unit,definition
corpus_by_site,concrete yard bags,32,bag,site from the median ENU position
corpus_by_site,concrete yard hours,11.9069,h,
corpus_by_site,concrete yard frames,214332,frame,
corpus_by_site,concrete yard fixed frames,210183,frame,
corpus_by_site,concrete yard fixed hours,11.6768,h,
corpus_by_site,concrete yard bags with /rtk/fix,4,bag,
corpus_by_site,concrete yard bags with /ch110/data_raw,25,bag,
corpus_by_site,greenhouse bags,5,bag,site from the median ENU position
corpus_by_site,greenhouse hours,4.1618,h,
corpus_by_site,greenhouse frames,74161,frame,
corpus_by_site,greenhouse fixed frames,57029,frame,
corpus_by_site,greenhouse fixed hours,3.1683,h,
corpus_by_site,greenhouse bags with /rtk/fix,0,bag,
corpus_by_site,greenhouse bags with /ch110/data_raw,5,bag,
corpus_by_site,orchard bags,10,bag,site from the median ENU position
corpus_by_site,orchard hours,4.2468,h,
corpus_by_site,orchard frames,76423,frame,
corpus_by_site,orchard fixed frames,74233,frame,
corpus_by_site,orchard fixed hours,4.1241,h,
corpus_by_site,orchard bags with /rtk/fix,1,bag,
corpus_by_site,orchard bags with /ch110/data_raw,10,bag,
corpus,imu rate median,98.3,Hz,"per-bag /ch110/data_raw sample rate over the 40 bags that carry it; nominal 100 Hz (equipment table of the field handbook, not distributed), mean 95.33 Hz, range 46.6-148.1 Hz"
corpus,odom rate median,5.0,Hz,per-bag /rtk_odom rate; the nominal 5 Hz of Table 1
corpus,first frame,2026-08-19,date,"wall-clock date of the earliest /rtk_odom frame in the corpus, after the replay exclusion"
corpus,last frame,2026-09-12,date,wall-clock date of the latest /rtk_odom frame in the corpus
corpus,frames_dropped_first,47,frame,first frame of each bag (no increment)
corpus,frames_dropped_no_heading,64,frame,"increments touching a frame with cov[35] >= 1e5 (no heading, published yaw = 0)"
corpus,frames_dropped_dt_gap,6,frame,increments spanning dt > 0.5 s
corpus,increments_used,364799,frame,frames entering the increment statistics
increments,all n,364799,frame,
increments,all RMS,2.1996,deg,root mean square of |dpsi|
increments,all P(>5 deg),3.187509,%,exceedance probability
increments,all count >5 deg,11628,frame,
increments,all P(>10 deg),0.350056,%,exceedance probability
increments,all count >10 deg,1277,frame,
increments,all P(>20 deg),0.044956,%,exceedance probability
increments,all count >20 deg,164,frame,
increments,all P(>45 deg),0.016173,%,exceedance probability
increments,all count >45 deg,59,frame,
increments,all P(>90 deg),0.006305,%,exceedance probability
increments,all count >90 deg,23,frame,
increments,all P(> max bound 16.66 deg),0.060581,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments,all count > max bound 16.66 deg,221,frame,increments that cannot be a turn of this vehicle
increments,"all P(> Delta_min 48.5 deg, T=0.30 m)",0.015077,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments,"all count > Delta_min 48.5 deg, T=0.30 m",55,frame,
increments,"all P(> Delta_min 86.3 deg, T=0.50 m)",0.006579,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments,"all count > Delta_min 86.3 deg, T=0.50 m",24,frame,
increments,all median,0.28,deg,secondary
increments,all p90,2.3599,deg,secondary
increments,all p99,7.1774,deg,secondary
increments,all p99.9,13.4259,deg,secondary
increments,all max,178.8736,deg,secondary
increments,straight n,140163,frame,
increments,straight RMS,2.0158,deg,root mean square of |dpsi|
increments,straight P(>5 deg),0.789795,%,exceedance probability
increments,straight count >5 deg,1107,frame,
increments,straight P(>10 deg),0.192633,%,exceedance probability
increments,straight count >10 deg,270,frame,
increments,straight P(>20 deg),0.065638,%,exceedance probability
increments,straight count >20 deg,92,frame,
increments,straight P(>45 deg),0.024971,%,exceedance probability
increments,straight count >45 deg,35,frame,
increments,straight P(>90 deg),0.010702,%,exceedance probability
increments,straight count >90 deg,15,frame,
increments,straight P(> max bound 16.66 deg),0.085615,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments,straight count > max bound 16.66 deg,120,frame,increments that cannot be a turn of this vehicle
increments,"straight P(> Delta_min 48.5 deg, T=0.30 m)",0.022117,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments,"straight count > Delta_min 48.5 deg, T=0.30 m",31,frame,
increments,"straight P(> Delta_min 86.3 deg, T=0.50 m)",0.010702,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments,"straight count > Delta_min 86.3 deg, T=0.50 m",15,frame,
increments,straight median,0.2823,deg,secondary
increments,straight p90,0.985,deg,secondary
increments,straight p99,4.6983,deg,secondary
increments,straight p99.9,15.1926,deg,secondary
increments,straight max,178.8736,deg,secondary
increments,turn n,29881,frame,
increments,turn RMS,4.629,deg,root mean square of |dpsi|
increments,turn P(>5 deg),19.132559,%,exceedance probability
increments,turn count >5 deg,5717,frame,
increments,turn P(>10 deg),2.349319,%,exceedance probability
increments,turn count >10 deg,702,frame,
increments,turn P(>20 deg),0.140558,%,exceedance probability
increments,turn count >20 deg,42,frame,
increments,turn P(>45 deg),0.040159,%,exceedance probability
increments,turn count >45 deg,12,frame,
increments,turn P(>90 deg),0.02008,%,exceedance probability
increments,turn count >90 deg,6,frame,
increments,turn P(> max bound 16.66 deg),0.194103,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments,turn count > max bound 16.66 deg,58,frame,increments that cannot be a turn of this vehicle
increments,"turn P(> Delta_min 48.5 deg, T=0.30 m)",0.040159,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments,"turn count > Delta_min 48.5 deg, T=0.30 m",12,frame,
increments,"turn P(> Delta_min 86.3 deg, T=0.50 m)",0.023426,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments,"turn count > Delta_min 86.3 deg, T=0.50 m",7,frame,
increments,turn median,2.1132,deg,secondary
increments,turn p90,6.3902,deg,secondary
increments,turn p99,12.1495,deg,secondary
increments,turn p99.9,25.4515,deg,secondary
increments,turn max,168.2874,deg,secondary
increments,slow n,172236,frame,
increments,slow RMS,1.7406,deg,root mean square of |dpsi|
increments,slow P(>5 deg),2.633015,%,exceedance probability
increments,slow count >5 deg,4535,frame,
increments,slow P(>10 deg),0.11612,%,exceedance probability
increments,slow count >10 deg,200,frame,
increments,slow P(>20 deg),0.017418,%,exceedance probability
increments,slow count >20 deg,30,frame,
increments,slow P(>45 deg),0.006967,%,exceedance probability
increments,slow count >45 deg,12,frame,
increments,slow P(>90 deg),0.001161,%,exceedance probability
increments,slow count >90 deg,2,frame,
increments,slow P(> max bound 16.66 deg),0.024966,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments,slow count > max bound 16.66 deg,43,frame,increments that cannot be a turn of this vehicle
increments,"slow P(> Delta_min 48.5 deg, T=0.30 m)",0.006967,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments,"slow count > Delta_min 48.5 deg, T=0.30 m",12,frame,
increments,"slow P(> Delta_min 86.3 deg, T=0.50 m)",0.001161,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments,"slow count > Delta_min 86.3 deg, T=0.50 m",2,frame,
increments,slow median,0.2394,deg,secondary
increments,slow p90,2.2462,deg,secondary
increments,slow p99,5.4436,deg,secondary
increments,slow p99.9,10.6529,deg,secondary
increments,slow max,167.5083,deg,secondary
increments,na n,22519,frame,
increments,na RMS,1.2157,deg,root mean square of |dpsi|
increments,na P(>5 deg),1.194547,%,exceedance probability
increments,na count >5 deg,269,frame,
increments,na P(>10 deg),0.466273,%,exceedance probability
increments,na count >10 deg,105,frame,
increments,na P(>20 deg),0.0,%,exceedance probability
increments,na count >20 deg,0,frame,
increments,na P(>45 deg),0.0,%,exceedance probability
increments,na count >45 deg,0,frame,
increments,na P(>90 deg),0.0,%,exceedance probability
increments,na count >90 deg,0,frame,
increments,na P(> max bound 16.66 deg),0.0,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments,na count > max bound 16.66 deg,0,frame,increments that cannot be a turn of this vehicle
increments,"na P(> Delta_min 48.5 deg, T=0.30 m)",0.0,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments,"na count > Delta_min 48.5 deg, T=0.30 m",0,frame,
increments,"na P(> Delta_min 86.3 deg, T=0.50 m)",0.0,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments,"na count > Delta_min 86.3 deg, T=0.50 m",0,frame,
increments,na median,0.211,deg,secondary
increments,na p90,0.9711,deg,secondary
increments,na p99,6.178,deg,secondary
increments,na p99.9,12.1021,deg,secondary
increments,na max,13.8241,deg,secondary
increments_cls_rtk,straight n,144787,frame,
increments_cls_rtk,straight RMS,1.069,deg,root mean square of |dpsi|
increments_cls_rtk,straight P(>5 deg),0.504189,%,exceedance probability
increments_cls_rtk,straight count >5 deg,730,frame,
increments_cls_rtk,straight P(>10 deg),0.060779,%,exceedance probability
increments_cls_rtk,straight count >10 deg,88,frame,
increments_cls_rtk,straight P(>20 deg),0.014504,%,exceedance probability
increments_cls_rtk,straight count >20 deg,21,frame,
increments_cls_rtk,straight P(>45 deg),0.002072,%,exceedance probability
increments_cls_rtk,straight count >45 deg,3,frame,
increments_cls_rtk,straight P(>90 deg),0.000691,%,exceedance probability
increments_cls_rtk,straight count >90 deg,1,frame,
increments_cls_rtk,straight P(> max bound 16.66 deg),0.017957,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_cls_rtk,straight count > max bound 16.66 deg,26,frame,increments that cannot be a turn of this vehicle
increments_cls_rtk,"straight P(> Delta_min 48.5 deg, T=0.30 m)",0.001381,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_cls_rtk,"straight count > Delta_min 48.5 deg, T=0.30 m",2,frame,
increments_cls_rtk,"straight P(> Delta_min 86.3 deg, T=0.50 m)",0.000691,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_cls_rtk,"straight count > Delta_min 86.3 deg, T=0.50 m",1,frame,
increments_cls_rtk,straight median,0.2767,deg,secondary
increments_cls_rtk,straight p90,0.925,deg,secondary
increments_cls_rtk,straight p99,4.3203,deg,secondary
increments_cls_rtk,straight p99.9,7.9849,deg,secondary
increments_cls_rtk,straight max,146.2451,deg,secondary
increments_cls_rtk,turn n,24169,frame,
increments_cls_rtk,turn RMS,6.0472,deg,root mean square of |dpsi|
increments_cls_rtk,turn P(>5 deg),14.369647,%,exceedance probability
increments_cls_rtk,turn count >5 deg,3473,frame,
increments_cls_rtk,turn P(>10 deg),2.747321,%,exceedance probability
increments_cls_rtk,turn count >10 deg,664,frame,
increments_cls_rtk,turn P(>20 deg),0.446853,%,exceedance probability
increments_cls_rtk,turn count >20 deg,108,frame,
increments_cls_rtk,turn P(>45 deg),0.190326,%,exceedance probability
increments_cls_rtk,turn count >45 deg,46,frame,
increments_cls_rtk,turn P(>90 deg),0.091026,%,exceedance probability
increments_cls_rtk,turn count >90 deg,22,frame,
increments_cls_rtk,turn P(> max bound 16.66 deg),0.591667,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_cls_rtk,turn count > max bound 16.66 deg,143,frame,increments that cannot be a turn of this vehicle
increments_cls_rtk,"turn P(> Delta_min 48.5 deg, T=0.30 m)",0.186189,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_cls_rtk,"turn count > Delta_min 48.5 deg, T=0.30 m",45,frame,
increments_cls_rtk,"turn P(> Delta_min 86.3 deg, T=0.50 m)",0.095163,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_cls_rtk,"turn count > Delta_min 86.3 deg, T=0.50 m",23,frame,
increments_cls_rtk,turn median,1.1929,deg,secondary
increments_cls_rtk,turn p90,6.2704,deg,secondary
increments_cls_rtk,turn p99,13.0658,deg,secondary
increments_cls_rtk,turn p99.9,79.2568,deg,secondary
increments_cls_rtk,turn max,178.8736,deg,secondary
increments_cls_rtk,slow n,195169,frame,
increments_cls_rtk,slow RMS,1.9109,deg,root mean square of |dpsi|
increments_cls_rtk,slow P(>5 deg),3.801321,%,exceedance probability
increments_cls_rtk,slow count >5 deg,7419,frame,
increments_cls_rtk,slow P(>10 deg),0.265923,%,exceedance probability
increments_cls_rtk,slow count >10 deg,519,frame,
increments_cls_rtk,slow P(>20 deg),0.017421,%,exceedance probability
increments_cls_rtk,slow count >20 deg,34,frame,
increments_cls_rtk,slow P(>45 deg),0.004611,%,exceedance probability
increments_cls_rtk,slow count >45 deg,9,frame,
increments_cls_rtk,slow P(>90 deg),0.0,%,exceedance probability
increments_cls_rtk,slow count >90 deg,0,frame,
increments_cls_rtk,slow P(> max bound 16.66 deg),0.026131,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_cls_rtk,slow count > max bound 16.66 deg,51,frame,increments that cannot be a turn of this vehicle
increments_cls_rtk,"slow P(> Delta_min 48.5 deg, T=0.30 m)",0.004099,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_cls_rtk,"slow count > Delta_min 48.5 deg, T=0.30 m",8,frame,
increments_cls_rtk,"slow P(> Delta_min 86.3 deg, T=0.50 m)",0.0,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_cls_rtk,"slow count > Delta_min 86.3 deg, T=0.50 m",0,frame,
increments_cls_rtk,slow median,0.2503,deg,secondary
increments_cls_rtk,slow p90,3.7879,deg,secondary
increments_cls_rtk,slow p99,6.2009,deg,secondary
increments_cls_rtk,slow p99.9,12.2996,deg,secondary
increments_cls_rtk,slow max,70.5975,deg,secondary
increments_cls_rtk,na n,674,frame,
increments_cls_rtk,na RMS,2.1108,deg,root mean square of |dpsi|
increments_cls_rtk,na P(>5 deg),0.890208,%,exceedance probability
increments_cls_rtk,na count >5 deg,6,frame,
increments_cls_rtk,na P(>10 deg),0.890208,%,exceedance probability
increments_cls_rtk,na count >10 deg,6,frame,
increments_cls_rtk,na P(>20 deg),0.148368,%,exceedance probability
increments_cls_rtk,na count >20 deg,1,frame,
increments_cls_rtk,na P(>45 deg),0.148368,%,exceedance probability
increments_cls_rtk,na count >45 deg,1,frame,
increments_cls_rtk,na P(>90 deg),0.0,%,exceedance probability
increments_cls_rtk,na count >90 deg,0,frame,
increments_cls_rtk,na P(> max bound 16.66 deg),0.148368,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_cls_rtk,na count > max bound 16.66 deg,1,frame,increments that cannot be a turn of this vehicle
increments_cls_rtk,"na P(> Delta_min 48.5 deg, T=0.30 m)",0.0,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_cls_rtk,"na count > Delta_min 48.5 deg, T=0.30 m",0,frame,
increments_cls_rtk,"na P(> Delta_min 86.3 deg, T=0.50 m)",0.0,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_cls_rtk,"na count > Delta_min 86.3 deg, T=0.50 m",0,frame,
increments_cls_rtk,na median,0.1764,deg,secondary
increments_cls_rtk,na p90,0.5346,deg,secondary
increments_cls_rtk,na p99,3.4376,deg,secondary
increments_cls_rtk,na p99.9,23.9768,deg,secondary
increments_cls_rtk,na max,46.9329,deg,secondary
increments,definition,|wrap(psi_k - psi_(k-1))|,,"psi from the /rtk_odom quaternion, heading = 90 deg - yaw; one 5 Hz frame apart; cls_imu = IMU-only straight/turn label (|integrated gyro yaw| over the trailing 3 s window < 5 deg -> straight, else turn; 'na' = bag without IMU or first 3 s)"
pseudo_step,candidate frames,144642,frame,fixed solution (status 4) AND cov[35] < 1e5 (driver had a heading) AND |dp_ant| <= 0.02 m (the reconstructed ANT1 point did not move)
pseudo_step,count >=0.05 m,98,frame,candidate frames whose published position moved at least 0.05 m
pseudo_step,rate >=0.05 m,5.1663,1/h,per hour of fixed solution in the corpus
pseudo_step,|dpsi| min >=0.05 m,5.4316,deg,
pseudo_step,|dpsi| max >=0.05 m,167.5083,deg,
pseudo_step,|dpsi| median >=0.05 m,13.2809,deg,
pseudo_step,residual RMS >=0.05 m,0.0076,m,"residual = dp_pub - 2|L| sin(|dpsi|/2), the verification of eq. (2)"
pseudo_step,residual max |.| >=0.05 m,0.0186,m,
pseudo_step,residual median >=0.05 m,-0.0008,m,
pseudo_step,fraction within 0.02 m >=0.05 m,100.0,%,frames whose observed step matches eq. (2) to better than 0.02 m
pseudo_step,caught by cross-track 0.30 m >=0.05 m,7,frame,"|c| from eq. (3) with theta in the PRE-jump body frame, vs the deployed 0.30 m"
pseudo_step,caught by norm 0.50 m >=0.05 m,2,frame,vs the deployed 0.50 m norm threshold
pseudo_step,caught by cross-track 0.30 m (post-jump frame) >=0.05 m,5,frame,"same test with extract_p2.py's `across` column (post-jump yaw), for comparison"
pseudo_step,count >=0.10 m,36,frame,candidate frames whose published position moved at least 0.10 m
pseudo_step,rate >=0.10 m,1.8978,1/h,per hour of fixed solution in the corpus
pseudo_step,|dpsi| min >=0.10 m,16.5971,deg,
pseudo_step,|dpsi| max >=0.10 m,167.5083,deg,
pseudo_step,|dpsi| median >=0.10 m,28.5414,deg,
pseudo_step,residual RMS >=0.10 m,0.0072,m,"residual = dp_pub - 2|L| sin(|dpsi|/2), the verification of eq. (2)"
pseudo_step,residual max |.| >=0.10 m,0.0176,m,
pseudo_step,residual median >=0.10 m,-0.0009,m,
pseudo_step,fraction within 0.02 m >=0.10 m,100.0,%,frames whose observed step matches eq. (2) to better than 0.02 m
pseudo_step,caught by cross-track 0.30 m >=0.10 m,7,frame,"|c| from eq. (3) with theta in the PRE-jump body frame, vs the deployed 0.30 m"
pseudo_step,caught by norm 0.50 m >=0.10 m,2,frame,vs the deployed 0.50 m norm threshold
pseudo_step,caught by cross-track 0.30 m (post-jump frame) >=0.10 m,5,frame,"same test with extract_p2.py's `across` column (post-jump yaw), for comparison"
pseudo_step,count >=0.20 m,17,frame,candidate frames whose published position moved at least 0.20 m
pseudo_step,rate >=0.20 m,0.8962,1/h,per hour of fixed solution in the corpus
pseudo_step,|dpsi| min >=0.20 m,32.4422,deg,
pseudo_step,|dpsi| max >=0.20 m,167.5083,deg,
pseudo_step,|dpsi| median >=0.20 m,59.1505,deg,
pseudo_step,residual RMS >=0.20 m,0.0067,m,"residual = dp_pub - 2|L| sin(|dpsi|/2), the verification of eq. (2)"
pseudo_step,residual max |.| >=0.20 m,0.0176,m,
pseudo_step,residual median >=0.20 m,-0.0008,m,
pseudo_step,fraction within 0.02 m >=0.20 m,100.0,%,frames whose observed step matches eq. (2) to better than 0.02 m
pseudo_step,caught by cross-track 0.30 m >=0.20 m,7,frame,"|c| from eq. (3) with theta in the PRE-jump body frame, vs the deployed 0.30 m"
pseudo_step,caught by norm 0.50 m >=0.20 m,2,frame,vs the deployed 0.50 m norm threshold
pseudo_step,caught by cross-track 0.30 m (post-jump frame) >=0.20 m,5,frame,"same test with extract_p2.py's `across` column (post-jump yaw), for comparison"
pseudo_step,count >=0.30 m,13,frame,candidate frames whose published position moved at least 0.30 m
pseudo_step,rate >=0.30 m,0.6853,1/h,per hour of fixed solution in the corpus
pseudo_step,|dpsi| min >=0.30 m,50.4774,deg,
pseudo_step,|dpsi| max >=0.30 m,167.5083,deg,
pseudo_step,|dpsi| median >=0.30 m,64.9576,deg,
pseudo_step,residual RMS >=0.30 m,0.0073,m,"residual = dp_pub - 2|L| sin(|dpsi|/2), the verification of eq. (2)"
pseudo_step,residual max |.| >=0.30 m,0.0176,m,
pseudo_step,residual median >=0.30 m,-0.0008,m,
pseudo_step,fraction within 0.02 m >=0.30 m,100.0,%,frames whose observed step matches eq. (2) to better than 0.02 m
pseudo_step,caught by cross-track 0.30 m >=0.30 m,7,frame,"|c| from eq. (3) with theta in the PRE-jump body frame, vs the deployed 0.30 m"
pseudo_step,caught by norm 0.50 m >=0.30 m,2,frame,vs the deployed 0.50 m norm threshold
pseudo_step,caught by cross-track 0.30 m (post-jump frame) >=0.30 m,5,frame,"same test with extract_p2.py's `across` column (post-jump yaw), for comparison"
pseudo_step,count >=0.50 m,2,frame,candidate frames whose published position moved at least 0.50 m
pseudo_step,rate >=0.50 m,0.1054,1/h,per hour of fixed solution in the corpus
pseudo_step,|dpsi| min >=0.50 m,117.1931,deg,
pseudo_step,|dpsi| max >=0.50 m,167.5083,deg,
pseudo_step,|dpsi| median >=0.50 m,142.3507,deg,
pseudo_step,residual RMS >=0.50 m,0.0124,m,"residual = dp_pub - 2|L| sin(|dpsi|/2), the verification of eq. (2)"
pseudo_step,residual max |.| >=0.50 m,0.0176,m,
pseudo_step,residual median >=0.50 m,0.0086,m,
pseudo_step,fraction within 0.02 m >=0.50 m,100.0,%,frames whose observed step matches eq. (2) to better than 0.02 m
pseudo_step,caught by cross-track 0.30 m >=0.50 m,2,frame,"|c| from eq. (3) with theta in the PRE-jump body frame, vs the deployed 0.30 m"
pseudo_step,caught by norm 0.50 m >=0.50 m,2,frame,vs the deployed 0.50 m norm threshold
pseudo_step,caught by cross-track 0.30 m (post-jump frame) >=0.50 m,1,frame,"same test with extract_p2.py's `across` column (post-jump yaw), for comparison"
pseudo_step,bags carrying >=0.10 m frames,8,bag,
pseudo_step_by_bag,top1 run_20260906_2026-09-06-15-26-15,15,frame,site greenhouse; 0.79 fixed h; 18.90 frames per fixed hour
pseudo_step_by_bag,top2 run_20260828_2026-08-28-10-16-47,7,frame,site greenhouse; 1.00 fixed h; 6.98 frames per fixed hour
pseudo_step_by_bag,top3 run_20260907_2026-09-07-13-15-11,4,frame,site concrete yard; 1.05 fixed h; 3.83 frames per fixed hour
pseudo_step_by_bag,top4 run_20260829_2026-08-29-09-12-05,4,frame,site greenhouse; 0.75 fixed h; 5.33 frames per fixed hour
pseudo_step_by_bag,top5 run_20260828_2026-08-28-16-38-15,3,frame,site greenhouse; 0.61 fixed h; 4.91 frames per fixed hour
pseudo_step_by_site,concrete yard >=0.10 m,6,frame,
pseudo_step_by_site,concrete yard per fixed hour,0.5138,1/h,11.68 fixed h at this site
pseudo_step_by_site,greenhouse >=0.10 m,29,frame,
pseudo_step_by_site,greenhouse per fixed hour,9.1532,1/h,3.17 fixed h at this site
pseudo_step_by_site,orchard >=0.10 m,1,frame,
pseudo_step_by_site,orchard per fixed hour,0.2425,1/h,4.12 fixed h at this site
rtk_fix_check,bags,5,bag,"bags recording raw /rtk/fix: run_20260910_2026-09-10-16-42-10, run_20260910_2026-09-10-17-55-11, run_20260912_2026-09-12-07-46-55, run_20260912_2026-09-12-13-52-20, run_20260912_2026-09-12-13-58-05"
rtk_fix_check,frames,74118,frame,increments where both frames have a /rtk/fix sample within 0.15 s
rtk_fix_check,"corr(dp_fix, dp_ant)",0.988668,-,|dp| of the raw ANT1 lat/lon in ENU vs |dp| of the ANT1 point reconstructed as p_pub + R(yaw) L
rtk_fix_check,"corr(dp_fix, dp_pub)",0.968568,-,same against the published vehicle point
rtk_fix_check,"corr(dp_fix, dp_ant) per bag, min",0.983829,-,worst of the 5 bags: run_20260910_2026-09-10-16-42-10
rtk_fix_check,"corr(dp_fix, dp_ant) per bag, max",0.999665,-,best of the 5 bags: run_20260912_2026-09-12-13-52-20
rtk_fix_check,median |dp_fix - dp_ant|,0.0,m,all frames; dp_fix is quantised at 0.1 mm by the CSV writer
rtk_fix_check,p95 |dp_fix - dp_ant|,0.0,m,
rtk_fix_check,p99.9 |dp_fix - dp_ant|,0.1048,m,
rtk_fix_check,max |dp_fix - dp_ant|,0.2005,m,worst frame; the tail is timing (nearest /rtk/fix sample accepted within 0.15 s)
rtk_fix_check,share |dp_fix - dp_ant| below the CSV quantum,99.022,%,"0.1 mm, the resolution the extraction writes"
rtk_fix_check,median |dp_fix - dp_pub|,0.0015,m,all frames
rtk_fix_check,frames with |dpsi| > 10 deg,80,frame,
rtk_fix_check,median |dp_fix - dp_ant| (|dpsi|>10),0.0,m,the reconstruction tracks the raw antenna point through these frames
rtk_fix_check,median |dp_fix - dp_pub| (|dpsi|>10),0.07055,m,
rtk_fix_check,median dp_ant (|dpsi|>10),0.0824,m,
rtk_fix_check,median dp_pub (|dpsi|>10),0.0106,m,
rtk_fix_check,max |dpsi| in these bags,13.8687,deg,"these bags carry no large heading outlier, so the check validates the reconstruction"
event1,bag,run_20260906_2026-09-06-15-26-15,,"E3b, second greenhouse, vehicle stationary"
event1,time,2026-09-06 15:57:03.094,,local time of the frame that carries the step
event1,dpsi,-67.5415,deg,"one 5 Hz frame, heading 253.2119 -> 185.6704 deg"
event1,dp_pub,0.4014,m,published position step
event1,predicted 2|L|sin(|dpsi|/2),0.4064,m,eq. (2)
event1,residual,-0.005,m,dp_pub - prediction
event1,dp_ant,0.0107,m,reconstructed ANT1 point over the same frame
event1,cov35,7.61544e-05,rad^2,heading variance published by the driver
event1,status,4,-,4 = RTK fixed
event1,satellites,21,-,from /rtk/status
event1,differential age,1.0,s,from /rtk/status
event1,IMU increment,0.0,deg,gyro-integrated heading change over the same frame
event1,gyro envelope,0.001,rad/s,max |omega_z| over the frame
event1,cross-track (pre-jump frame),-0.3834,m,eq. (3)
event1,along-track (pre-jump frame),-0.1209,m,eq. (3)
event2,bag,run_20260906_2026-09-06-15-26-15,,"E3b, second greenhouse, vehicle stationary"
event2,time,2026-09-06 15:51:35.628,,local time of the frame that carries the step
event2,dpsi,-178.8736,deg,"one 5 Hz frame, heading 186.0751 -> 7.2015 deg"
event2,dp_pub,0.7325,m,published position step
