gate_deg,max_yaw_rate,yaw_gate_margin,max_hold_frames,rejected,rejected_pct,genuine_rejected,outlier_rejected,false_gate_pct,heading_invalid,max_consecutive_rejections,max_consecutive_genuine_rejections,episodes,episodes_outlier_triggered,genuine_in_outlier_episodes,genuine_in_genuine_episodes,false_gate_attributed_pct,pstep_caught,pstep_missed,pstep_caught_pct,false_gate_pct_straight,genuine_straight,false_gate_pct_turn,genuine_turn,false_gate_pct_slow,genuine_slow,false_gate_pct_na,genuine_na,event1_caught,event2_caught,residual_frames_0.05,residual_episodes_0.05,residual_frames_0.10,residual_episodes_0.10,residual_frames_0.20,residual_episodes_0.20,residual_frames_0.30,residual_episodes_0.30,residual_frames_0.50,residual_episodes_0.50
16.000000,1.146263,0.050000,5,778,0.213268,115,628,0.035799,58,14,0,558,542,110,5,0.001556,33,3,91.666667,0.037598,135645,0.124088,26594,0.019503,158953,0.000000,46,1,0,92,57,33,26,14,13,10,9,2,2
17.000000,1.233530,0.050000,5,722,0.197917,98,593,0.030507,43,12,0,533,518,93,5,0.001556,29,7,80.555556,0.035386,135645,0.090246,26594,0.016357,158953,0.000000,46,1,0,92,57,34,24,13,11,9,8,1,1
18.000000,1.320796,0.050000,5,685,0.187775,89,568,0.027705,36,12,0,515,502,85,4,0.001245,29,7,80.555556,0.031700,135645,0.078965,26594,0.015728,158953,0.000000,46,1,0,92,57,33,25,12,11,7,7,1,1
19.000000,1.408063,0.050000,5,659,0.180647,77,555,0.023970,26,10,4,509,495,73,4,0.001245,26,10,72.222222,0.028752,135645,0.063924,26594,0.013211,158953,0.000000,46,1,0,93,58,33,25,13,12,8,8,1,1
20.000000,1.495329,0.050000,5,637,0.174617,70,543,0.021791,22,10,4,503,488,66,4,0.001245,25,11,69.444444,0.026540,135645,0.056404,26594,0.011953,158953,0.000000,46,1,0,91,56,31,23,12,11,7,7,1,1
21.000000,1.582596,0.050000,5,613,0.168038,58,531,0.018055,15,9,4,496,481,54,4,0.001245,23,13,63.888889,0.020642,135645,0.048883,26594,0.010695,158953,0.000000,46,1,0,91,56,31,23,12,11,7,7,1,1
22.000000,1.669862,0.050000,5,596,0.163378,53,519,0.016499,9,8,3,489,474,50,3,0.000934,22,14,61.111111,0.018430,135645,0.048883,26594,0.009437,158953,0.000000,46,1,0,92,58,33,25,13,12,8,8,2,2
23.000000,1.757129,0.050000,5,588,0.161185,53,513,0.016499,7,8,3,487,472,50,3,0.000934,21,15,58.333333,0.018430,135645,0.041363,26594,0.010695,158953,0.000000,46,1,0,95,58,36,25,15,13,10,9,2,2
24.000000,1.844395,0.050000,5,572,0.156799,44,507,0.013697,4,6,2,482,468,42,2,0.000623,20,16,55.555556,0.016219,135645,0.033842,26594,0.008179,158953,0.000000,46,1,0,96,58,37,25,15,13,10,9,2,2
25.000000,1.931662,0.050000,5,557,0.152687,40,497,0.012452,3,6,2,475,462,38,2,0.000623,20,16,55.555556,0.014744,135645,0.030082,26594,0.007549,158953,0.000000,46,1,0,94,56,35,23,14,12,9,8,1,1
26.000000,2.018928,0.050000,5,541,0.148301,36,487,0.011207,3,6,2,467,454,34,2,0.000623,18,18,50.000000,0.013270,135645,0.026322,26594,0.006920,158953,0.000000,46,1,0,95,56,35,23,14,12,9,8,1,1
27.000000,2.106194,0.050000,5,533,0.146108,34,482,0.010584,3,6,2,464,451,32,2,0.000623,18,18,50.000000,0.012533,135645,0.026322,26594,0.006291,158953,0.000000,46,1,0,93,54,33,21,13,11,8,7,0,0
28.000000,2.193461,0.050000,5,523,0.143367,32,474,0.009961,2,6,1,460,447,31,1,0.000311,17,19,47.222222,0.009584,135645,0.033842,26594,0.006291,158953,0.000000,46,1,0,94,54,33,21,13,11,9,8,0,0
29.000000,2.280727,0.050000,5,519,0.142270,31,471,0.009650,2,6,1,457,444,30,1,0.000311,17,19,47.222222,0.008847,135645,0.033842,26594,0.006291,158953,0.000000,46,1,0,93,53,32,20,13,11,9,8,0,0
30.000000,2.367994,0.050000,5,514,0.140900,29,469,0.009028,1,6,1,456,443,28,1,0.000311,17,19,47.222222,0.008109,135645,0.033842,26594,0.005662,158953,0.000000,46,1,0,94,53,32,20,14,11,9,8,0,0
